query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
5715cc97213abf9b,1,1,1,1,1,1
1afb184fd4f66b7c,1,2,1,2,1,1
d193194a5e72f871,1,1,1,1,1,1
3e86a77cfe1d672d,1,2,1,4,1,2
819a859164bf0b12,1,1,1,2,1,6
6fbac054db93b2ba,0,44,0,47,0,27
64bfc39be7d6e538,1,1,1,1,1,2
5b63a7da3ee3f768,1,2,1,5,1,2
ce57416756436703,1,1,1,1,1,1
8c636aa810c1052c,1,4,1,4,1,4
47df3471bb5d8446,1,7,1,8,1,4
49fb5425424b170f,1,1,1,1,1,1
6a3b1003f4834257,1,1,1,1,1,1
0aa87ec038946b40,1,3,1,2,1,1
8d8cfe9934401759,1,1,1,1,1,1
85e0e8af4b5dd9db,0,44,0,47,0,27
4f77e73215a30ce9,1,9,1,9,0,12
9c9a40bdae646c1c,1,1,1,1,1,3
23be8e6dc99d7861,1,5,1,6,1,2
0541f7f4eedbde51,1,3,1,2,1,1
2ef26b238bf3f3c1,1,6,1,7,0,11
d18d92e9f37e426a,1,4,1,4,1,3
74d6cfe0cec69ab6,1,1,1,1,1,1
af2f2fe0f10b18b4,1,3,1,3,1,4
73eaf574dc292a29,1,6,0,23,1,1
baffe59f4e83aaea,1,3,1,9,1,1
6fde9d9a199fe95b,1,2,1,2,1,2
11e2ad5c10b846fc,1,3,1,3,1,2
7aa09e266263a3db,1,6,1,7,1,3
336d9d0a4fd91107,1,5,0,11,1,3
f78310f2e359f3d2,1,3,1,2,1,1
39d760386c5ee28b,1,5,1,3,1,4
4fd71bee856faae3,1,6,1,4,1,6
eb81f894dff37770,1,1,1,1,1,7
9e902b37ddfb0234,1,10,1,8,0,16
a1ac63e263ce7ba1,1,7,1,4,1,3
bcecfb401e5faf3f,1,1,1,1,1,1
b32021e10832e32e,1,1,1,1,1,1
2680149cf1c57019,1,1,1,1,1,1
22178ca03320f0f4,1,1,1,2,1,6
82d37d08d8a5ca95,1,10,0,12,0,14
8314ea62d9b9364a,1,4,1,4,1,5
93206562fb75164b,1,2,1,2,1,3
31dd4c081bd85363,1,5,1,4,1,2
5916072dcab0470a,1,3,1,8,1,1
d51d4d31aba7fc69,1,1,1,1,1,1
a01552c60ff4715f,1,1,1,1,1,1
a9ab53bd44e53f1e,1,2,1,2,1,2
8224fd4e7f45cc13,1,3,1,3,1,5
5feaaa0c5375861d,1,4,1,6,1,4
eee613472aac9d02,1,1,1,1,1,1
d6df7f0f12bdc716,1,6,1,7,0,12
d2b29f1ef4228ff1,0,25,0,24,0,17
c8084c6f49a18eac,1,3,1,3,1,4
e0e3cf7369312779,1,1,1,1,1,1
24ec089c89a9bd3c,1,1,1,1,1,1
70da7071fb1ec413,1,9,0,11,0,14
d244e3f92a644875,1,1,1,1,1,1
2a58fd76f3edd9cd,1,5,1,4,1,2
3402d119071a2b8c,1,3,1,2,1,1
67d73b7ae7836160,1,8,1,8,1,7
6f409beabc288fdd,1,1,1,1,1,2
37e5d548245f6a69,1,3,1,3,1,1
e0ba7b3351d09a1d,1,1,1,1,1,4
0418cd0f4365a1cd,1,1,1,3,1,2
d131fbbea2627c53,1,1,1,1,1,4
057681fdadc845a4,1,9,1,7,1,9
0f606154c200dacf,0,17,0,20,0,55
fbaec80c040a05eb,1,1,1,1,1,1
00d80ce611147195,0,17,0,20,0,24
dc61c57e68efe9e4,1,3,1,4,1,2
09040d917c986600,1,10,1,8,0,16
